 Juancho Hernangómez<>PF<>none<>288<>40<>197<>19<>48<>
 Juancho Hernangómez<>PF<>DEN<>107<>22<>95<>5<>34<>
 Juancho Hernangómez<>PF<>MIN<>181<>18<>102<>14<>14<>
 Willy Hernangómez<>C<>CHO<>190<>29<>134<>10<>31<>
 Tyler Herro<>SG<>MIA<>743<>121<>224<>34<>55<>
 Kevin Hervey<>PF<>OKC<>17<>5<>12<>1<>10<>
 Mario Hezonja<>PF<>POR<>256<>50<>184<>36<>53<>
 Buddy Hield<>SG<>SAC<>1382<>213<>328<>66<>72<>
 George Hill<>PG<>MIL<>554<>180<>177<>47<>59<>
 Solomon Hill<>PF<>none<>323<>104<>165<>43<>59<>
 Solomon Hill<>PF<>MEM<>274<>94<>144<>31<>48<>
 Solomon Hill<>PF<>MIA<>49<>10<>21<>12<>11<>
 Jaylen Hoard<>PF<>POR<>38<>4<>32<>5<>13<>
 Aaron Holiday<>PG<>IND<>627<>225<>156<>55<>66<>
 Jrue Holiday<>SG<>NOP<>1167<>408<>293<>99<>61<>
 Justin Holiday<>SF<>IND<>603<>93<>238<>87<>73<>
 Rondae Hollis-Jefferson<>PF<>TOR<>418<>106<>283<>46<>60<>
 Richaun Holmes<>C<>SAC<>539<>42<>358<>41<>44<>
 Rodney Hood<>SF<>POR<>230<>32<>72<>17<>21<>
 Al Horford<>C<>PHI<>798<>270<>456<>52<>67<>
 Talen Horton-Tucker<>SG<>LAL<>34<>6<>7<>8<>6<>
 Danuel House Jr.<>SF<>HOU<>662<>85<>267<>67<>63<>
 Dwight Howard<>C<>LAL<>517<>45<>507<>31<>69<>
 William Howard<>PF<>HOU<>0<>1<>2<>0<>2<>
 Kevin Huerter<>SG<>ATL<>684<>213<>228<>51<>56<>
 De'Andre Hunter<>SF<>ATL<>778<>112<>286<>44<>63<>
 Chandler Hutchison<>SF<>CHI<>218<>26<>108<>27<>28<>
 Serge Ibaka<>C<>TOR<>845<>77<>452<>28<>55<>
 Andre Iguodala<>SF<>MIA<>96<>51<>78<>14<>21<>
 Ersan İlyasova<>PF<>MIL<>414<>49<>302<>24<>63<>
